"ID","Type","Name","Documentation","Specialization"
"id-715af3620d084a779f87e419a243fdc0","ArchimateModel","Property_Model","this is model for ch08",""
"id-fb68bd0eb393404ba87d5cb94854836b","BusinessActor","Business Actor","",""
"id-0a0c4aaf40b14e61b09a316b2e6dd9d2","BusinessEvent","Business Event","",""
"id-e865b4364ae4456dbeca07d150ed5889","BusinessEvent","Business Event","",""
"id-837c1b5c2ff848a8bd222ac9c9b184e1","BusinessEvent","END","",""
"id-e7f8b5b9fbb2492a92cdd78cd6e93752","BusinessInterface","Business Interface","",""
"id-3f3a66f1e1c84142a30500d16533196f","BusinessObject","Business Object","",""
"id-6569ea341803452fb517c766d2f74401","BusinessProcess","1 Register","",""
"id-0b6c84c660f641a98c9f5ada347c03de","BusinessProcess","2 Accept","",""
"id-85e2173b59d146ebbc47e290d207a56b","BusinessProcess","3 Valuate","",""
"id-29bc4034a6c94b70853fcf5b13f38126","BusinessProcess","4 Pay","",""
"id-e1ad5963ebd34e8d97c50e2c69fcc30b","BusinessProcess","Business Process","","My Process"
"id-b9c8f093780b45c2b60ed707b9e5f793","BusinessProcess","Business Process","","My Process"
"id-467ccea35f0740aabaf10366266e63f8","BusinessProcess","Business Process Business Process Business Process","",""
"id-48da7ef4d42a4a47a0f12b457e6dd478","BusinessProcess","Handle Claim","Process to Handle Claims
https://www.google.com",""
"id-841f639735e94682a9763963b5c1f6f0","BusinessProcess","Process (To be Deleted)","",""
"id-08b19a21b8a948298a9bef2f5cc01b8f","BusinessService","Business Service","",""
"id-0c10e375658b401ab2764d6c36587d7a","ApplicationComponent","Application Component","",""
"id-8b21ce63b9fb4f0da684aa53cf10ee43","Facility","Facility","",""
"id-9666c36a60784c7587b4279c014c54ff","Node","Node","",""
"id-2cb0ee77374448d28e562f1ab221f008","Meaning","Meaning","","My Meaning"
"id-ff348697f28447239f7a37f214425418","Outcome","Outcome","",""
"id-d4212996b5694823b66091c66cd2abbf","Requirement","Requirement","",""
"id-05c2cb1631084dfdba94e22d9ad60eb3","Grouping","Business Service Requirement Group (with customized grouping)","",""
"id-69aad297a42743d79a2709d3a0f6ad3d","Grouping","Grouping","",""
"id-88d029065a4d45b8bf725f755f3058a0","Junction","Junction","",""
"id-3c33b59ffbc6497eba399eec753aa89f","Location","Location","",""
