"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Edit","Duplicate","Ctrl+D","In Windows","com.archimatetool.editor.action.duplicate"
"Navigate","Forward History","Alt+Right","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"File","Close Model","Ctrl+M","In Windows","com.archimatetool.editor.action.closeModel"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Archi","Show Visualiser","Ctrl+Shift+6","In Windows","com.archimatetool.zest.action.showZestView"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Archi","Show Outline","Ctrl+Shift+3","In Windows","com.archimatetool.editor.action.showOutlineView"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Help","Show Hints","Ctrl+Shift+7","In Windows","com.archimatetool.help.command.showHintsView"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Edit","Delete from Model","Shift+Delete","In Windows","com.archimatetool.editor.action.deleteFromModel"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"View","Default Size","Ctrl+/","In Windows","com.archimatetool.action.defaultSize"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"File","Close","Ctrl+W","In Windows","org.eclipse.ui.file.close"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Archi","Show Properties","Ctrl+Shift+2","In Windows","com.archimatetool.editor.action.showPropertiesView"
"Archi","Show Validator","Ctrl+Shift+8","In Windows","com.archimatetool.hammer.command.showValidatorView"
"Archi","Show Palette","Ctrl+Shift+5","In Windows","com.archimatetool.editor.action.showPaletteView"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"Window","Toggle Split Editor (Horizontal)","Ctrl+[","In Windows","org.eclipse.ui.window.splitEditor"
"Archi","Show Navigator","Ctrl+Shift+4","In Windows","com.archimatetool.editor.action.showNavigatorView"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Navigate","Backward History","Alt+Left","In Windows","org.eclipse.ui.navigate.backwardHistory"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Archi","Show Models","Ctrl+Shift+1","In Windows","com.archimatetool.editor.action.showTreeModelView"
"Window","Toggle Split Editor (Vertical)","Ctrl+]","In Windows","org.eclipse.ui.window.splitEditor"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"View","Zoom Actual Size","Ctrl+0","In Windows","org.eclipse.gef.zoom_normal"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Edit","Generate View","Ctrl+G","In Windows","com.archimatetool.action.generateView"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"Window","Full Screen","F11","In Windows","com.archimatetool.editor.action.fullScreen"
"Edit","Copy as Image to Clipboard","Ctrl+Shift+C","In Windows","com.archimatetool.editor.action.exportAsImageToClipboard"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Edit","Paste Special","Ctrl+Shift+V","In Windows","com.archimatetool.com.paste_special"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"File","New Model","Ctrl+N","In Windows","com.archimatetool.editor.action.newModel"
"File","Open Model","Ctrl+O","In Windows","com.archimatetool.editor.action.openModel"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Edit","Open Diagram","Ctrl+Shift+O","In Windows","com.archimatetool.editor.action.openDiagram"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
