"ID","Key","Value"
"id-6569ea341803452fb517c766d2f74401","Business Unit","Operations"
"id-0b6c84c660f641a98c9f5ada347c03de","Business Unit","Operations"
"id-85e2173b59d146ebbc47e290d207a56b","Business Unit","Operations"
"id-29bc4034a6c94b70853fcf5b13f38126","Business Unit","Operations"
"id-467ccea35f0740aabaf10366266e63f8","Coverage","Local"
"id-b9c8f093780b45c2b60ed707b9e5f793","Coverage","Local"
"id-b9c8f093780b45c2b60ed707b9e5f793","URL","https://www.google.com"
"id-b9c8f093780b45c2b60ed707b9e5f793","Priority","High"
"id-b9c8f093780b45c2b60ed707b9e5f793","Security Domain","Confidentiality"
"id-88d029065a4d45b8bf725f755f3058a0","Junction_Type","And"
"id-3c6012737a884ec58babeb03722f78ec","Directed","true"
"id-27f53e4271d34b1c86a2e469f9126081","Influence_Strength"," ++"
"id-e757c02c42ab45588814bba66a53aa9c","Access_Type","ReadWrite"
"id-0a7b6e3b18c342108c0b65e0bd0259e7","Directed","false"
