"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-e757c02c42ab45588814bba66a53aa9c","AccessRelationship","","","id-b9c8f093780b45c2b60ed707b9e5f793","id-3f3a66f1e1c84142a30500d16533196f",""
"id-a92841dacbde47dc87e06f1a34dbf393","AggregationRelationship","","","id-48da7ef4d42a4a47a0f12b457e6dd478","id-467ccea35f0740aabaf10366266e63f8",""
"id-385a3ad319974e6cb89d095535160288","AggregationRelationship","","","id-48da7ef4d42a4a47a0f12b457e6dd478","id-85e2173b59d146ebbc47e290d207a56b",""
"id-ea9abeb2c8f24af5a00a5efcd2dc9607","AggregationRelationship","","","id-48da7ef4d42a4a47a0f12b457e6dd478","id-29bc4034a6c94b70853fcf5b13f38126",""
"id-6c17d5ec1e594ee5b071d7026c005c27","AggregationRelationship","","","id-48da7ef4d42a4a47a0f12b457e6dd478","id-0b6c84c660f641a98c9f5ada347c03de",""
"id-f3b08b30b0ed45638aba9c9da2c9bc11","AggregationRelationship","","","id-48da7ef4d42a4a47a0f12b457e6dd478","id-6569ea341803452fb517c766d2f74401",""
"id-3c6012737a884ec58babeb03722f78ec","AssociationRelationship","","","id-2cb0ee77374448d28e562f1ab221f008","id-b9c8f093780b45c2b60ed707b9e5f793",""
"id-0a7b6e3b18c342108c0b65e0bd0259e7","AssociationRelationship","","","id-08b19a21b8a948298a9bef2f5cc01b8f","id-e757c02c42ab45588814bba66a53aa9c",""
"id-ad009d519bf64da49bf3244754e25469","CompositionRelationship","","","id-e1ad5963ebd34e8d97c50e2c69fcc30b","id-29bc4034a6c94b70853fcf5b13f38126",""
"id-858fb3fafe704200be8b7a4954dcc42b","CompositionRelationship","","","id-05c2cb1631084dfdba94e22d9ad60eb3","id-d4212996b5694823b66091c66cd2abbf",""
"id-8eb573bbaced4034bafc8f595d104b03","CompositionRelationship","","","id-9666c36a60784c7587b4279c014c54ff","id-8b21ce63b9fb4f0da684aa53cf10ee43",""
"id-689ef8784d924f90a799d4553f5134d1","CompositionRelationship","Process Belongs to","process hierachy (ref: https://www.google.com)","id-48da7ef4d42a4a47a0f12b457e6dd478","id-841f639735e94682a9763963b5c1f6f0","My Composition «Nice»"
"id-27f53e4271d34b1c86a2e469f9126081","InfluenceRelationship","","","id-d4212996b5694823b66091c66cd2abbf","id-ff348697f28447239f7a37f214425418",""
"id-873908a439f1453687641fc3e4d5e36d","ServingRelationship","","","id-8b21ce63b9fb4f0da684aa53cf10ee43","id-3c33b59ffbc6497eba399eec753aa89f",""
"id-873e3e9f3ed6468680c5f1bb78adea7c","SpecializationRelationship","","","id-b9c8f093780b45c2b60ed707b9e5f793","id-48da7ef4d42a4a47a0f12b457e6dd478",""
"id-4bd27533ca35416db7ea839af621e3ca","TriggeringRelationship","","","id-6569ea341803452fb517c766d2f74401","id-0b6c84c660f641a98c9f5ada347c03de",""
"id-5e5132f666a24c5cae14372670a0967f","TriggeringRelationship","","","id-0b6c84c660f641a98c9f5ada347c03de","id-85e2173b59d146ebbc47e290d207a56b",""
"id-949ef1cf0cef407b815ef084cdcff79d","TriggeringRelationship","","","id-85e2173b59d146ebbc47e290d207a56b","id-29bc4034a6c94b70853fcf5b13f38126",""
"id-d5a431295afa4e10adc6e984b876ce94","TriggeringRelationship","","","id-29bc4034a6c94b70853fcf5b13f38126","id-837c1b5c2ff848a8bd222ac9c9b184e1",""
